BeeID,ColonyID_queen,ColonyID_workers,QueenID,MicrocolonyID,Treatment,Brood,Time.development.days,Behavioral.assay,Assays.response.summary,Assays.response,LearningTraining.summary,LearningTraining,LearningTest.summary,LearningTest,Sucrose.summary,Sucrose.response,Sucrose.conc.summary,Sucrose.conc,Survival.hours,Wing1.mm,Wing2.mm,Avg.mm,comments
Bee133,MP10,BS05,MT045,QE007,Worker.reared,1stBrood,25,Learning,yes,1,yes,1,yes,1,,,,,24,2.7,2.7,2.7,
Bee134,MP10,BS05,MT045,QE007,Worker.reared,1stBrood,25,Learning,yes,1,yes,1,yes,1,,,,,27,2.3,2.3,2.3,
Bee135,MP10,BS05,MT045,QE007,Worker.reared,1stBrood,25,Sucrose,no,0,,,,,no,0,,,24,2.8,2.8,2.8,
Bee136,WP7,BS05,MT044,WR013,Worker.reared,1stBrood,27,Sucrose,yes,1,,,,,yes,1,50%,0.5,72,,,,
Bee137,WP7,,MT039,WR011,Queen.reared,1stBrood,27,Sucrose,no,0,,,,,no,0,,,28,1.8,1.8,1.8,
Extra001,QP2,,MT008,WR03,Queen.reared,2ndBrood,,,,,,,,,,,,,,2.2,2.2,2.2,
Extra002,QP2,,MT008,WR03,Queen.reared,2ndBrood,,,,,,,,,,,,,,2.5,2.5,2.5,
Extra003,WP4,,MT002,WR01,Queen.reared,2ndBrood,,,,,,,,,,,,,,2.3,2.3,2.3,
Extra004,WP4,,MT002,WR01,Queen.reared,2ndBrood,,,,,,,,,,,,,,2.4,2.4,2.4,
Extra005,WP4,,MT002,WR01,Queen.reared,2ndBrood,,,,,,,,,,,,,,2.3,2.3,2.3,
Extra006,WP4,,MT002,WR01,Queen.reared,2ndBrood,,,,,,,,,,,,,,2.4,2.4,2.4,
Extra007,WP4,,MT002,WR01,Queen.reared,2ndBrood,,,,,,,,,,,,,,2.4,2.4,2.4,
Extra008,WP4,,MT002,WR01,Queen.reared,2ndBrood,,,,,,,,,,,,,,2.4,2.4,2.4,
Extra009,WP4,,MT002,WR01,Queen.reared,2ndBrood,,,,,,,,,,,,,,2.3,2.3,2.3,
Extra010,WP4,,MT002,WR01,Queen.reared,2ndBrood,,,,,,,,,,,,,,2.4,2.4,2.4,
Extra011,WP4,,MT002,WR01,Queen.reared,2ndBrood,,,,,,,,,,,,,,2.4,2.4,2.4,
Extra012,QP2,,MT006,WR02,Queen.reared,2ndBrood,,,,,,,,,,,,,,2.5,2.5,2.5,
Extra013,QP2,,MT006,WR02,Queen.reared,2ndBrood,,,,,,,,,,,,,,2.3,2.3,2.3,
Extra014,WP9,,MT037,,Queen.reared,1stBrood,,,,,,,,,,,,,,2.4,2.4,2.4,
Extra015,WP9,,MT037,,Queen.reared,1stBrood,,,,,,,,,,,,,,1.9,1.9,1.9,
Extra016,WP9,,MT037,,Queen.reared,1stBrood,,,,,,,,,,,,,,2.5,2.5,2.5,
Extra017,WP9,,MT037,,Queen.reared,1stBrood,,,,,,,,,,,,,,2,2,2,
Extra018,WP9,,MT033,,Queen.reared,1stBrood,,,,,,,,,,,,,,2.4,2.4,2.4,
Extra019,WP9,,MT033,,Queen.reared,1stBrood,,,,,,,,,,,,,,2.5,2.5,2.5,
Extra020,WP9,,MT033,,Queen.reared,1stBrood,,,,,,,,,,,,,,2.4,2.4,2.4,
Extra021,WP9,,MT033,,Queen.reared,1stBrood,,,,,,,,,,,,,,2.4,2.4,2.4,
Extra022,WP9,,MT033,,Queen.reared,1stBrood,,,,,,,,,,,,,,2.6,2.6,2.6,
Extra023,WP9,,MT033,,Queen.reared,1stBrood,,,,,,,,,,,,,,2.6,2.6,2.6,
Extra024,WP9,,MT033,,Queen.reared,1stBrood,,,,,,,,,,,,,,2.5,2.5,2.5,
Extra025,WP7,,MT016,,Queen.reared,1stBrood,,,,,,,,,,,,,,2.2,2.2,2.2,
Extra026,WP7,,MT016,,Queen.reared,1stBrood,,,,,,,,,,,,,,1.9,1.9,1.9,
Extra027,WP7,,MT016,,Queen.reared,1stBrood,,,,,,,,,,,,,,1.9,1.9,1.9,
Extra028,WP7,,MT016,,Queen.reared,1stBrood,,,,,,,,,,,,,,2.2,2.2,2.2,
Extra029,WP7,,MT016,,Queen.reared,1stBrood,,,,,,,,,,,,,,1.7,1.7,1.7,
Extra030,QP2,,MT007,,Queen.reared,1stBrood,,,,,,,,,,,,,,2.4,2.4,2.4,
Extra031,WP7,,MT024,,Queen.reared,1stBrood,,,,,,,,,,,,,,2.1,2.1,2.1,
Extra032,WP7,,MT024,,Queen.reared,1stBrood,,,,,,,,,,,,,,2.4,2.4,2.4,
Extra033,WP7,,MT024,,Queen.reared,1stBrood,,,,,,,,,,,,,,2.1,2.1,2.1,
Extra034,WP7,,MT024,,Queen.reared,1stBrood,,,,,,,,,,,,,,1.8,1.8,1.8,
Extra035,WP7,,MT024,,Queen.reared,1stBrood,,,,,,,,,,,,,,2.1,2.1,2.1,
Extra036,QP2,,MT007,,Queen.reared,1stBrood,,,,,,,,,,,,,,2.2,2.2,2.2,
Extra037,QP2,,MT007,,Queen.reared,1stBrood,,,,,,,,,,,,,,2,2,2,
Extra038,QP2,,MT007,,Queen.reared,1stBrood,,,,,,,,,,,,,,1.8,1.8,1.8,
Extra039,QP2,,MT007,,Queen.reared,1stBrood,,,,,,,,,,,,,,2,2,2,
Extra040,WP7,BS05,MT026,WR009,Worker.reared,1stBrood,,,,,,,,,,,,,,4,4,4,
